+--------------------+------------------------+--------------------+---------------------+--------------------+---------------------+---------------------+---------------------+
|   Currency Name    |     Currency Price     | Currency 1h Change | Currency 24h Change | Currency 7d Change | Currency 30d Change | Currency 60d Change | Currency 90d Change |
+--------------------+------------------------+--------------------+---------------------+--------------------+---------------------+---------------------+---------------------+
|      Bitcoin       |   36818.70398292955    |     0.47789298     |      0.28271811     |    -0.92238451     |     24.87092867     |     35.82827312     |      41.2619183     |
|      Ethereum      |   1976.5185279649065   |     0.12505894     |      0.48973901     |    -3.71834886     |     22.94702903     |     21.36406515     |     18.56119598     |
|    Tether USDt     |   1.0006345932537817   |     0.00075657     |     -0.00411044     |     0.0363717      |      0.03408445     |      0.05269941     |      0.08890168     |
|        BNB         |   245.22714850187378   |     0.28136444     |      0.04813217     |    -1.33714128     |     15.23217036     |     13.69669286     |     16.70980013     |
|        XRP         |   0.6234496822586368   |     0.24675658     |      1.54245243     |    -5.85928672     |     19.34551987     |     20.07980472     |     19.56506745     |
|       Solana       |   60.59873878744967    |     0.30907168     |      2.66759524     |     5.93575747     |     126.26478321    |     200.07006918    |     187.25408416    |
|        USDC        |   0.9999890781959109   |    -0.00916697     |     -0.01534721     |     0.03761641     |      0.0096061      |     -0.00705243     |      0.00568629     |
|      Cardano       |   0.3808224930334022   |     0.91881793     |      1.96943345     |    -0.11847481     |     51.89615617     |      49.5277519     |     44.24301462     |
|      Dogecoin      |  0.08007779186416916   |     1.59641315     |     -1.30604628     |     2.75760691     |     33.20646683     |     28.11933655     |     28.28736614     |
|        TRON        |  0.10380144185463365   |     0.48242402     |      0.82744764     |    -4.38357483     |     14.09350301     |     22.61771513     |     38.86935851     |
|      Toncoin       |   2.373361341135765    |     0.07677456     |     -0.07051949     |    -4.50524889     |     13.59338165     |     -1.96985432     |      75.0439402     |
|     Chainlink      |   14.580345968842673   |     2.44670574     |      6.05943697     |    -9.35764884     |     90.87252496     |     110.81801224    |     136.88175534    |
|      Polygon       |   0.8440362417290678   |     0.49163529     |      1.87201826     |    -4.85851033     |     57.73764677     |     55.34701868     |     50.59694411     |
|     Avalanche      |   21.883853553989223   |     0.78004628     |     -1.86426751     |    19.37343935     |     137.81778082    |     142.31382799    |     111.73078519    |
|      Polkadot      |   5.420734620103629    |     0.42652476     |      2.86554426     |    -5.17924937     |     46.01424987     |     31.11039732     |     22.47586035     |
|  Wrapped Bitcoin   |   36755.735605401314   |     0.46101009     |      0.16416999     |    -0.96790245     |     24.55093921     |     35.47427232     |     41.02841074     |
|        Dai         |   0.9998751142068495   |    -0.02675536     |     -0.06658934     |     0.02716432     |     -0.00099901     |      0.06396431     |     -0.02473162     |
|      Litecoin      |   70.07508798505825    |     0.38642032     |      0.3045953      |    -6.34610861     |      10.5292744     |      7.9524085      |      5.75008633     |
|     Shiba Inu      | 8.605037319862837e-06  |     0.59624811     |     -0.09149791     |    -3.63438568     |     24.80960001     |     16.22935752     |      7.81778308     |
|    Bitcoin Cash    |   228.6242693977908    |     0.29028225     |      0.22998853     |    -3.44390981     |     -5.10824706     |      5.41242426     |     22.78445138     |
|    UNUS SED LEO    |   4.081768587311142    |     0.16360292     |      0.29498841     |     -1.6054706     |      5.27007303     |      6.51971903     |      8.21023812     |
